name,secondary_name,icao_code,icao_code_source,iata_code,iata_code_source,notes
ABSA Cargo,,TUS,Wikipedia,M3,IATA
ABX Air,,ABX,Wikipedia,GB,IATA
AeroSucre,,KRE,Wikipedia,6N,IATA
Air Hong Kong,,AHK,Wikipedia,LD,IATA
Air Slovakia,,SVK,Wikipedia,GM,IATA
Air Tanzania,,ATC,Wikipedia,TC,IATA
Airlift International,,LFM,ICAO
Amerijet International,,AJT,Wikipedia,M6,IATA
Arrow Cargo,,APW,Wikipedia,JW,IATA
BA Connect,,BRT,Wikipedia
Baboo,,BBO,Wikipedia,F7,IATA
Bluebird Cargo,,BBD,Wikipedia,BF,IATA
China Cargo Airlines,,CKK,Wikipedia,CK,IATA
China Postal Airlines,,CYZ,Wikipedia,8Y,IATA
Domodedovo Airlines,,DMO,Wikipedia,E3,IATA
Eurojet Romania,,RDP,Wikipedia
FedEx,,FDX,Wikipedia,FX,IATA
Florida West Airlines,,FWL,Wikipedia,RF,IATA
GB Airways,,GBL,Wikipedia,GT,IATA
Grandstar Cargo,,GSC,Wikipedia,GD,IATA
Great Wall Airlines,,GWL,Wikipedia,IJ,IATA
Highland Airways,,HWY,Wikipedia,8H,IATA
Itek Air,,IKA,Wikipedia,GI,IATA
Jade Cargo International,,JAE,Wikipedia,JI,IATA
KrasAir,,KJC,Wikipedia,7B,IATA
MAT,Macedonian Airlines,MAK,Wikipedia,IN,IATA
Mexicana,,MXA,Wikipedia,MX,IATA
MIA Airlines,,JLA,Wikipedia
NCA,Nippon Cargo Airlines,NCA,Wikipedia,KZ,IATA
Northwest Airlines,,NWA,Wikipedia,NW,IATA
Polar Air Cargo,,PAC,Wikipedia,PO,IATA
Romavia,,RMV,Wikipedia,WQ,IATA
SAM,,SAM,ICAO,,,subsidiary of Avianca
Shanghai Airlines Cargo,,SHQ,Wikipedia,F4,IATA
Shenzhen Donghai Airlines,,EPA,Wikipedia
Silverjet,,FJE,Wikipedia
SkyEurope,,ESK,Wikipedia,NE,IATA
Tavria-Mak,,TVM,Wikipedia
Tiriac Air,,TIH,Wikipedia
UPS,,UPS,Wikipedia,5X,IATA
Varig,,VRG,Wikipedia,RG,IATA
VarigLog,,VLO,Wikipedia
Yangtze River Express,,YZR,Wikipedia,Y8,IATA
Zoom Airlines,,UKZ,Wikipedia
