name,type_name,fuel_common_name,year,control_name,total_travel_percent,source,source_detail,source_url
Light-duty trucks diesel 1985 moderate,Light-duty trucks,diesel,1985,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 1986 moderate,Light-duty trucks,diesel,1986,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 1987 moderate,Light-duty trucks,diesel,1987,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 1988 moderate,Light-duty trucks,diesel,1988,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 1989 moderate,Light-duty trucks,diesel,1989,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 1990 moderate,Light-duty trucks,diesel,1990,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 1991 moderate,Light-duty trucks,diesel,1991,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 1992 moderate,Light-duty trucks,diesel,1992,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 1993 moderate,Light-duty trucks,diesel,1993,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 1994 moderate,Light-duty trucks,diesel,1994,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 1995 moderate,Light-duty trucks,diesel,1995,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 1996 advanced,Light-duty trucks,diesel,1996,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 1997 advanced,Light-duty trucks,diesel,1997,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 1998 advanced,Light-duty trucks,diesel,1998,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 1999 advanced,Light-duty trucks,diesel,1999,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 2000 advanced,Light-duty trucks,diesel,2000,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 2001 advanced,Light-duty trucks,diesel,2001,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 2002 advanced,Light-duty trucks,diesel,2002,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 2003 advanced,Light-duty trucks,diesel,2003,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 2004 advanced,Light-duty trucks,diesel,2004,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 2005 advanced,Light-duty trucks,diesel,2005,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 2006 advanced,Light-duty trucks,diesel,2006,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 2007 advanced,Light-duty trucks,diesel,2007,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 2008 advanced,Light-duty trucks,diesel,2008,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 2009 advanced,Light-duty trucks,diesel,2009,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel 2010 advanced,Light-duty trucks,diesel,2010,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1985 oxidation catalyst,Light-duty trucks,gasoline,1985,oxidation catalyst,0.6,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1985 epa tier 0,Light-duty trucks,gasoline,1985,epa tier 0,0.4,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1986 oxidation catalyst,Light-duty trucks,gasoline,1986,oxidation catalyst,0.5,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1986 epa tier 0,Light-duty trucks,gasoline,1986,epa tier 0,0.5,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1987 oxidation catalyst,Light-duty trucks,gasoline,1987,oxidation catalyst,0.05,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1987 epa tier 0,Light-duty trucks,gasoline,1987,epa tier 0,0.95,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1988 oxidation catalyst,Light-duty trucks,gasoline,1988,oxidation catalyst,0.05,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1988 epa tier 0,Light-duty trucks,gasoline,1988,epa tier 0,0.95,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1989 oxidation catalyst,Light-duty trucks,gasoline,1989,oxidation catalyst,0.05,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1989 epa tier 0,Light-duty trucks,gasoline,1989,epa tier 0,0.95,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1990 epa tier 0,Light-duty trucks,gasoline,1990,epa tier 0,0.95,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
