name,size_class_name,year,type_name,fuel_efficiency_city,fuel_efficiency_city_units,fuel_efficiency_highway,fuel_efficiency_highway_units,source,source_detail,source_url
Small car 1975,Small car,1975,Passenger cars,14.37467083,miles_per_gallon,17.47342011,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1976,Small car,1976,Passenger cars,15.69842128,miles_per_gallon,18.81203582,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1977,Small car,1977,Passenger cars,16.34401017,miles_per_gallon,19.48608604,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1978,Small car,1978,Passenger cars,18.19589677,miles_per_gallon,22.03625925,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1979,Small car,1979,Passenger cars,18.29214062,miles_per_gallon,22.12539205,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1980,Small car,1980,Passenger cars,20.4253039,miles_per_gallon,24.83002926,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1981,Small car,1981,Passenger cars,22.44908244,miles_per_gallon,26.88587002,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1982,Small car,1982,Passenger cars,22.59509808,miles_per_gallon,28.06417257,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1983,Small car,1983,Passenger cars,22.82560307,miles_per_gallon,28.59175881,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1984,Small car,1984,Passenger cars,22.72580059,miles_per_gallon,28.6679259,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1985,Small car,1985,Passenger cars,23.06540021,miles_per_gallon,29.01443234,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1986,Small car,1986,Passenger cars,23.12047734,miles_per_gallon,29.10094306,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1987,Small car,1987,Passenger cars,22.94794621,miles_per_gallon,29.09599159,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1988,Small car,1988,Passenger cars,23.13836047,miles_per_gallon,29.27420989,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1989,Small car,1989,Passenger cars,22.80234991,miles_per_gallon,28.98927197,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1990,Small car,1990,Passenger cars,22.36510806,miles_per_gallon,28.51847889,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1991,Small car,1991,Passenger cars,22.301936,miles_per_gallon,28.77342843,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1992,Small car,1992,Passenger cars,22.0046193,miles_per_gallon,28.88770326,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
