name,type_name,fuel_group,control_name,ch4_emission_factor,ch4_emission_factor_units,n2o_emission_factor,n2o_emission_factor_units,source,source_detail,source_url
Light-duty trucks diesel advanced,Light-duty trucks,diesel,advanced,0.001,grams_per_mile,0.0015,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel moderate,Light-duty trucks,diesel,moderate,0.0009,grams_per_mile,0.0014,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks diesel uncontrolled,Light-duty trucks,diesel,uncontrolled,0.0011,grams_per_mile,0.0017,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline epa tier 0,Light-duty trucks,gasoline,epa tier 0,0.0776,grams_per_mile,0.1056,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline epa tier 1,Light-duty trucks,gasoline,epa tier 1,0.0452,grams_per_mile,0.0871,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline epa tier 2,Light-duty trucks,gasoline,epa tier 2,0.0163,grams_per_mile,0.0066,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline low emission vehicles,Light-duty trucks,gasoline,low emission vehicles,0.0148,grams_per_mile,0.0157,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline non-catalyst control,Light-duty trucks,gasoline,non-catalyst control,0.1908,grams_per_mile,0.0218,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline oxidation catalyst,Light-duty trucks,gasoline,oxidation catalyst,0.1516,grams_per_mile,0.0639,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline uncontrolled,Light-duty trucks,gasoline,uncontrolled,0.2024,grams_per_mile,0.022,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel advanced,Passenger cars,diesel,advanced,0.0005,grams_per_mile,0.001,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel moderate,Passenger cars,diesel,moderate,0.0005,grams_per_mile,0.001,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel uncontrolled,Passenger cars,diesel,uncontrolled,0.0006,grams_per_mile,0.0012,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline epa tier 0,Passenger cars,gasoline,epa tier 0,0.0704,grams_per_mile,0.0647,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline epa tier 1,Passenger cars,gasoline,epa tier 1,0.0271,grams_per_mile,0.0429,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline epa tier 2,Passenger cars,gasoline,epa tier 2,0.0173,grams_per_mile,0.0036,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline low emission vehicles,Passenger cars,gasoline,low emission vehicles,0.0105,grams_per_mile,0.015,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline non-catalyst control,Passenger cars,gasoline,non-catalyst control,0.1696,grams_per_mile,0.0197,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline oxidation catalyst,Passenger cars,gasoline,oxidation catalyst,0.1355,grams_per_mile,0.0504,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline uncontrolled,Passenger cars,gasoline,uncontrolled,0.178,grams_per_mile,0.0197,grams_per_mile,EPA (2012) Table A-103,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
