name,activity_year,type_name,hfc_emissions,hfc_emissions_units,source,source_detail,source_url
1995 Light-duty trucks,1995,Light-duty trucks,31,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
1996 Light-duty trucks,1996,Light-duty trucks,31.2,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
1997 Light-duty trucks,1997,Light-duty trucks,30.1,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
1998 Light-duty trucks,1998,Light-duty trucks,28.6,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
1999 Light-duty trucks,1999,Light-duty trucks,26.6,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2000 Light-duty trucks,2000,Light-duty trucks,31,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2001 Light-duty trucks,2001,Light-duty trucks,31.2,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2002 Light-duty trucks,2002,Light-duty trucks,30.1,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2003 Light-duty trucks,2003,Light-duty trucks,28.6,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2004 Light-duty trucks,2004,Light-duty trucks,26.6,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2005 Light-duty trucks,2005,Light-duty trucks,31,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2006 Light-duty trucks,2006,Light-duty trucks,31.2,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2007 Light-duty trucks,2007,Light-duty trucks,30.1,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2008 Light-duty trucks,2008,Light-duty trucks,28.6,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2009 Light-duty trucks,2009,Light-duty trucks,26.6,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
1995 Passenger cars,1995,Passenger cars,28.4,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
1996 Passenger cars,1996,Passenger cars,27.1,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
1997 Passenger cars,1997,Passenger cars,24.6,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
1998 Passenger cars,1998,Passenger cars,22.1,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
1999 Passenger cars,1999,Passenger cars,19.3,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2000 Passenger cars,2000,Passenger cars,28.4,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2001 Passenger cars,2001,Passenger cars,27.1,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2002 Passenger cars,2002,Passenger cars,24.6,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2003 Passenger cars,2003,Passenger cars,22.1,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2004 Passenger cars,2004,Passenger cars,19.3,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2005 Passenger cars,2005,Passenger cars,28.4,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2006 Passenger cars,2006,Passenger cars,27.1,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2007 Passenger cars,2007,Passenger cars,24.6,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2008 Passenger cars,2008,Passenger cars,22.1,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
2009 Passenger cars,2009,Passenger cars,19.3,teragrams_co2e,EPA (2012) Table A-110,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
