name,state_postal_abbreviation,egrid_subregion_abbreviation,source,notes
727,PR,,Brighter Planet,have pop but missing state
2647,,NEWE,Brighter Planet,have pop but missing egrid
4570,,NEWE,Brighter Planet,have pop but missing egrid
4645,,NEWE,Brighter Planet,have pop but missing egrid
4650,,NEWE,Brighter Planet,have pop but missing egrid
4741,,NEWE,Brighter Planet,have pop but missing egrid
4852,,NEWE,Brighter Planet,have pop but missing egrid
10044,,NYCW,Brighter Planet,have pop but missing egrid
12978,,NYUP,Brighter Planet,have pop but missing egrid
49757,,RFCW,Brighter Planet,have pop but missing egrid
49775,,RFCW,Brighter Planet,have pop but missing egrid
58702,,MROW,Brighter Planet,have pop but missing egrid
58707,,MROW,Brighter Planet,have pop but missing egrid
59922,,NWPP,Brighter Planet,have pop but missing egrid
83215,,NWPP,Brighter Planet,have pop but missing egrid
83802,,NWPP,Brighter Planet,have pop but missing egrid
83808,,NWPP,Brighter Planet,have pop but missing egrid
83874,,NWPP,Brighter Planet,have pop but missing egrid
87418,,AZNM,Brighter Planet,have pop but missing egrid
88055,,AZNM,Brighter Planet,have pop but missing egrid
89830,,NWPP,Brighter Planet,have pop but missing egrid
89832,,NWPP,Brighter Planet,have pop but missing egrid
96751,,HIMS,Brighter Planet,have pop but missing egrid
97050,,NWPP,Brighter Planet,have pop but missing egrid
98281,,NWPP,Brighter Planet,have pop but missing egrid
99034,,NWPP,Brighter Planet,have pop but missing egrid
99548,,AKMS,Brighter Planet,have pop but missing egrid
99549,,AKMS,Brighter Planet,have pop but missing egrid
99551,,AKMS,Brighter Planet,have pop but missing egrid
99552,,AKMS,Brighter Planet,have pop but missing egrid
99555,,AKMS,Brighter Planet,have pop but missing egrid
99559,,AKMS,Brighter Planet,have pop but missing egrid
99564,,AKMS,Brighter Planet,have pop but missing egrid
99565,,AKMS,Brighter Planet,have pop but missing egrid
99569,,AKMS,Brighter Planet,have pop but missing egrid
99605,,AKGD,Brighter Planet,have pop but missing egrid
99607,,AKMS,Brighter Planet,have pop but missing egrid
99609,,AKMS,Brighter Planet,have pop but missing egrid
99614,,AKMS,Brighter Planet,have pop but missing egrid
99624,,AKMS,Brighter Planet,have pop but missing egrid
99626,,AKMS,Brighter Planet,have pop but missing egrid
99627,,AKMS,Brighter Planet,have pop but missing egrid
99628,,AKMS,Brighter Planet,have pop but missing egrid
99634,,AKMS,Brighter Planet,have pop but missing egrid
99637,,AKMS,Brighter Planet,have pop but missing egrid
99641,,AKMS,Brighter Planet,have pop but missing egrid
99643,,AKMS,Brighter Planet,have pop but missing egrid
99649,,AKMS,Brighter Planet,have pop but missing egrid
99653,,AKMS,Brighter Planet,have pop but missing egrid
99666,,AKMS,Brighter Planet,have pop but missing egrid
99671,,AKMS,Brighter Planet,have pop but missing egrid
99679,,AKMS,Brighter Planet,have pop but missing egrid
99680,,AKMS,Brighter Planet,have pop but missing egrid
99681,,AKMS,Brighter Planet,have pop but missing egrid
99685,,AKMS,Brighter Planet,have pop but missing egrid
99690,,AKMS,Brighter Planet,have pop but missing egrid
99691,,AKMS,Brighter Planet,have pop but missing egrid
99692,,AKMS,Brighter Planet,have pop but missing egrid
99693,,AKGD,Brighter Planet,have pop but missing egrid
99722,,AKMS,Brighter Planet,have pop but missing egrid
99724,,AKMS,Brighter Planet,have pop but missing egrid
99732,,AKGD,Brighter Planet,have pop but missing egrid
99733,,AKGD,Brighter Planet,have pop but missing egrid
99734,,AKMS,Brighter Planet,have pop but missing egrid
99736,,AKMS,Brighter Planet,have pop but missing egrid
99741,,AKMS,Brighter Planet,have pop but missing egrid
99745,,AKMS,Brighter Planet,have pop but missing egrid
99746,,AKMS,Brighter Planet,have pop but missing egrid
99751,,AKMS,Brighter Planet,have pop but missing egrid
99754,,AKMS,Brighter Planet,have pop but missing egrid
99756,,AKMS,Brighter Planet,have pop but missing egrid
99762,,AKMS,Brighter Planet,have pop but missing egrid
99766,,AKMS,Brighter Planet,have pop but missing egrid
99768,,AKMS,Brighter Planet,have pop but missing egrid
99774,,AKMS,Brighter Planet,have pop but missing egrid
99781,,AKMS,Brighter Planet,have pop but missing egrid
99788,,AKMS,Brighter Planet,have pop but missing egrid
99789,,AKMS,Brighter Planet,have pop but missing egrid
99830,,AKMS,Brighter Planet,have pop but missing egrid
99836,,AKMS,Brighter Planet,have pop but missing egrid
