zip_code_name,climate_division_name,source
1,AK6,Brighter Planet
2,AK8,Brighter Planet
3,AK6,Brighter Planet
4,AK6,Brighter Planet
5,AK6,Brighter Planet
6,AK5,Brighter Planet
7,AK9,Brighter Planet
9,AK8,Brighter Planet
10,AK7,Brighter Planet
11,AK2,Brighter Planet
12,CA2,Brighter Planet
14,AZ7,Brighter Planet
15,AZ7,Brighter Planet
16,CA5,Brighter Planet
17,CA5,Brighter Planet
18,CA6,Brighter Planet
19,CA3,Brighter Planet
20,CA5,Brighter Planet
22,CA1,Brighter Planet
26,CA5,Brighter Planet
27,CO1,Brighter Planet
28,CA2,Brighter Planet
29,CA2,Brighter Planet
31,CA2,Brighter Planet
32,CA6,Brighter Planet
33,CA3,Brighter Planet
34,CA1,Brighter Planet
35,CA1,Brighter Planet
37,CA2,Brighter Planet
38,CA2,Brighter Planet
39,CA1,Brighter Planet
40,CA5,Brighter Planet
41,FL5,Brighter Planet
42,FL4,Brighter Planet
43,FL5,Brighter Planet
44,CA5,Brighter Planet
45,FL3,Brighter Planet
47,CA2,Brighter Planet
48,CA1,Brighter Planet
49,CA1,Brighter Planet
50,CA1,Brighter Planet
51,CA2,Brighter Planet
52,CA5,Brighter Planet
53,FL5,Brighter Planet
54,CA1,Brighter Planet
55,CA1,Brighter Planet
56,ID5,Brighter Planet
57,CA6,Brighter Planet
58,CA5,Brighter Planet
59,MN3,Brighter Planet
60,MN3,Brighter Planet
61,CA6,Brighter Planet
63,MT4,Brighter Planet
64,NM5,Brighter Planet
65,CA2,Brighter Planet
66,NM5,Brighter Planet
67,OK7,Brighter Planet
68,OR1,Brighter Planet
69,OR4,Brighter Planet
70,OR4,Brighter Planet
71,UT5,Brighter Planet
72,WA5,Brighter Planet
73,WA8,Brighter Planet
74,WA6,Brighter Planet
76,WA6,Brighter Planet
77,OR4,Brighter Planet
84,NC6,Brighter Planet
87,FL4,Brighter Planet
97,FL5,Brighter Planet
98,FL5,Brighter Planet
100,UT5,Brighter Planet
116,LA7,Brighter Planet
119,LA9,Brighter Planet
120,LA9,Brighter Planet
121,LA9,Brighter Planet
122,LA9,Brighter Planet
125,ME1,Brighter Planet
126,ME1,Brighter Planet
127,ME2,Brighter Planet
128,ME1,Brighter Planet
130,ME1,Brighter Planet
132,ME1,Brighter Planet
133,ME1,Brighter Planet
134,ME2,Brighter Planet
135,ME1,Brighter Planet
137,ME1,Brighter Planet
138,ME1,Brighter Planet
139,ME1,Brighter Planet
140,ME1,Brighter Planet
141,ME2,Brighter Planet
145,ME1,Brighter Planet
147,ME1,Brighter Planet
148,ME1,Brighter Planet
151,ME3,Brighter Planet
152,MD1,Brighter Planet
157,MA3,Brighter Planet
158,MA3,Brighter Planet
160,MN3,Brighter Planet
161,MN3,Brighter Planet
164,MN2,Brighter Planet
165,MN2,Brighter Planet
166,MN2,Brighter Planet
168,NH1,Brighter Planet
172,NH2,Brighter Planet
173,NH1,Brighter Planet
174,NH1,Brighter Planet
176,NH1,Brighter Planet
177,NH1,Brighter Planet
179,NH1,Brighter Planet
180,NH1,Brighter Planet
181,NH1,Brighter Planet
182,NH1,Brighter Planet
183,NH1,Brighter Planet
184,NH1,Brighter Planet
185,NH1,Brighter Planet
188,TX9,Brighter Planet
195,WA1,Brighter Planet
197,AZ6,Brighter Planet
198,AK5,Brighter Planet
199,AZ6,Brighter Planet
501,NY4,Brighter Planet
544,NY4,Brighter Planet
1001,MA2,Brighter Planet
1002,MA2,Brighter Planet
1003,MA2,Brighter Planet
1004,MA2,Brighter Planet
1005,MA2,Brighter Planet
1007,MA2,Brighter Planet
1008,MA1,Brighter Planet
1009,MA2,Brighter Planet
1010,MA2,Brighter Planet
1011,MA1,Brighter Planet
1012,MA1,Brighter Planet
1013,MA2,Brighter Planet
1014,MA2,Brighter Planet
1020,MA2,Brighter Planet
1021,MA2,Brighter Planet
1022,MA2,Brighter Planet
1026,MA1,Brighter Planet
1027,MA2,Brighter Planet
1028,MA2,Brighter Planet
1029,MA1,Brighter Planet
1030,MA2,Brighter Planet
1031,MA2,Brighter Planet
1032,MA1,Brighter Planet
1033,MA2,Brighter Planet
1034,MA1,Brighter Planet
1035,MA2,Brighter Planet
1036,MA2,Brighter Planet
1037,MA2,Brighter Planet
1038,MA2,Brighter Planet
1039,MA2,Brighter Planet
1040,MA2,Brighter Planet
1041,MA2,Brighter Planet
1050,MA1,Brighter Planet
1053,MA2,Brighter Planet
1054,MA2,Brighter Planet
1056,MA2,Brighter Planet
1057,MA2,Brighter Planet
1059,MA2,Brighter Planet
1060,MA2,Brighter Planet
1061,MA2,Brighter Planet
1062,MA2,Brighter Planet
1063,MA2,Brighter Planet
1066,MA2,Brighter Planet
1068,MA2,Brighter Planet
1069,MA2,Brighter Planet
1070,MA1,Brighter Planet
1071,MA1,Brighter Planet
1072,MA2,Brighter Planet
1073,MA2,Brighter Planet
1074,MA2,Brighter Planet
1075,MA2,Brighter Planet
1077,MA1,Brighter Planet
1079,MA2,Brighter Planet
1080,MA2,Brighter Planet
1081,MA2,Brighter Planet
1082,MA2,Brighter Planet
1083,MA2,Brighter Planet
1084,MA1,Brighter Planet
1085,MA2,Brighter Planet
1086,MA2,Brighter Planet
1088,MA2,Brighter Planet
1089,MA2,Brighter Planet
1090,MA2,Brighter Planet
1092,MA2,Brighter Planet
1093,MA2,Brighter Planet
1094,MA2,Brighter Planet
1095,MA2,Brighter Planet
1096,MA1,Brighter Planet
1097,MA1,Brighter Planet
1098,MA1,Brighter Planet
1101,MA2,Brighter Planet
1102,MA2,Brighter Planet
1103,MA2,Brighter Planet
1104,MA2,Brighter Planet
1105,MA2,Brighter Planet
1106,MA2,Brighter Planet
1107,MA2,Brighter Planet
1108,MA2,Brighter Planet
1109,MA2,Brighter Planet
