trs_id,mode_code,service_code,electricity_kwh,battery_kwh,diesel_gallons,gasoline_gallons,lpg_gallons,lng_gallons,cng_gallons,kerosene_gallons,biodiesel_gallons,other_fuel,other_fuel_description,source,source_url
1,DR,PT,,,1109007,26466,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
1,LR,DO,556000,,,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
1,MB,DO,,,10424138,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
1,MB,PT,,,30901,138981,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
1,TB,DO,16917983,,,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
1,VP,DO,,,,807203,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
2,DR,DO,,,130608,43690,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
2,DR,PT,,,121137,54593,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
2,MB,DO,,,1261087,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
2,VP,DO,,,,78226,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
3,DR,DO,,,,126250,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
3,DR,PT,,,,346075,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
3,MB,DO,,,,47626,,,2421910,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
3,VP,DO,,,,338911,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
5,DR,DO,,,,103487,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
5,MB,DO,,,,,,,,,371103,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
6,DR,PT,,,,47311,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
6,MB,DO,,,167412,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
6,VP,DO,,,8523,23384,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
7,DR,PT,,,,131497,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
7,MB,DO,,,976741,,,,,,2636,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
7,MB,PT,,,7568,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
7,VP,PT,,,,12297,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
8,CR,PT,43931,,,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
8,DR,PT,,,,35406,,,,,896652,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
8,LR,DO,49052515,,,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
8,MB,DO,,,,,,,,,6048845,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
11,DR,DO,,,24856,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
11,DR,PT,,,,4079,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
11,MB,DO,,,,12845,,,212255,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
11,MB,PT,,,59634,33002,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
12,DR,PT,,,,182681,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
12,MB,DO,,,575179,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
16,DR,PT,,,10262,13279,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
16,MB,DO,,,51909,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
18,DR,DO,,,103916,318148,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
18,DR,PT,,,2021,11229,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
18,MB,DO,,,536335,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
18,VP,DO,,,30669,300042,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
19,DR,DO,,,,3541,,,,,100385,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
19,MB,DO,,,,,,,,,620141,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
19,VP,DO,,,,218416,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
20,DR,DO,,,179510,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
20,FB,PT,,,42849,294,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
20,MB,DO,,,539189,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
20,VP,DO,,,58041,20728,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
21,DR,DO,,,,133963,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
21,DR,PT,,,,3633,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
21,MB,DO,,,429899,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
21,VP,DO,,,,38600,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
22,DR,DO,,,19370,54783,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
22,MB,DO,,,48940,5484,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
23,MO,PT,579718,,,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
24,DR,DO,,,174550,,,,,,284,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
24,MB,DO,,,971997,,,,,,5068,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
24,VP,DO,,,,4276,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
25,DR,PT,,,38486,118101,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
25,MB,DO,,,,8233,,,406468,,241655,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
25,VP,PT,,,,13253,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
28,FB,PT,,,157344,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
29,DR,PT,,,195734,52267,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
29,MB,DO,,,1916914,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
29,MB,PT,,,693403,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
29,VP,DO,,,,282882,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
34,DR,PT,,,3534,35820,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
34,MB,DO,,,31200,,,,125738,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
35,FB,DO,,,16675796,,,,,,168822,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
40,CR,PT,,,1119629,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
40,LR,DO,413030,,,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
40,LR,PT,4812927,,,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
40,MB,DO,,,2236995,,,,205911,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
40,MB,PT,,,581379,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
41,AR,DO,,,121756,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
42,DR,DO,,,22779,45588,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
42,MB,DO,,,1179,27990,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
43,DR,DO,,,15685,18039,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
43,DR,PT,,,237,5129,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
43,MB,DO,,,288818,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
43,VP,DO,,,,467,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
44,DR,DO,,,40931,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
44,MB,DO,,,139362,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
44,VP,DO,,,,48805,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
45,DR,DO,,,19799,25,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
45,MB,DO,,,88787,1180,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
46,DR,DO,,,16831,2512,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
46,MB,DO,,,59674,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
47,DR,PT,,,120,480,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
47,MB,PT,,,,3615,,,,,84922,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
49,VP,DO,,,,96661,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
50,DR,PT,,,,32784,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
50,MB,PT,,,10523,28920,,,,,1814,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
52,VP,PT,,,,27335,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
53,MB,DO,,,61740,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
54,FB,DO,,,43750,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
1001,DR,DO,,,395979,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
1001,DR,PT,,,87014,28134,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
1001,MB,DO,,,2243881,,,,145872,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
1002,DR,DO,,,4020,9938,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
1002,MB,DO,,,109255,50,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
1003,CR,PT,,,13769227,,,,,,,,,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
