code,name,rail_mode,source,source_url
AG,Automated Guideway,TRUE,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
AR,Alaska Railroad,TRUE,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
CC,Cable Car,TRUE,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
CR,Commuter Rail,TRUE,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
HR,Heavy Rail,TRUE,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
IP,Inclined Plane,TRUE,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
LR,Light Rail,TRUE,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
MO,Monorail,TRUE,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
DR,Demand Response,FALSE,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
FB,Ferryboat,FALSE,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
MB,Bus,FALSE,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
PB,Publico,FALSE,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
TB,Trolleybus,FALSE,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
VP,Vanpool,FALSE,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
