trs_id,mode_code,service_code,vehicle_or_train_revenue_miles,vehicle_or_train_revenue_hours,passenger_car_revenue_miles,passenger_car_revenue_hours,passengers,passenger_miles,source,source_url
1,DR,PT,9974975,657222,,,1142452,11799848,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
1,LR,DO,60150,11207,60150,11207,451203,414617,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
1,MB,DO,31280944,2550833,,,90502036,457599218,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
1,MB,PT,831493,71947,,,846678,2719898,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
1,TB,DO,3381358,513091,,,19719226,35624244,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
1,VP,DO,11802532,347215,,,3172678,60214825,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
2,DR,DO,1307371,90765,,,277200,2162160,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
2,DR,PT,1377786,84316,,,244378,1845009,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
2,MB,DO,5782329,418247,,,11152841,43000039,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
2,VP,DO,888699,23703,,,209822,5245067,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
3,DR,DO,759377,52804,,,125700,986323,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
3,DR,PT,2299957,159516,,,337624,2701402,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
3,MB,DO,7271302,586260,,,14251163,52139423,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
3,VP,DO,4476702,134966,,,846040,27890686,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
5,DR,DO,506444,42802,,,108952,586231,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
5,MB,DO,1455700,117697,,,2495005,9570768,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
6,DR,PT,452504,47867,,,90440,293259,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
6,MB,DO,733777,51421,,,1349024,3784316,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
6,VP,DO,475879,10664,,,91552,4261532,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
7,DR,PT,1020396,87091,,,162792,1251648,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
7,MB,DO,3540605,286654,,,11718289,42347694,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
7,MB,PT,76518,2662,,,14361,646245,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
7,VP,PT,229964,4864,,,28568,1636912,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
8,CR,PT,48096,1484,66319,2057,123634,1066771,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
8,DR,PT,7994865,542062,,,1088446,10413815,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
8,LR,DO,3900143,276537,7321387,490872,39306691,206106550,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
8,MB,DO,22669862,1878880,,,68033035,252790287,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
11,DR,DO,235410,20530,,,37075,224675,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
11,DR,PT,17625,1974,,,2013,12380,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
11,MB,DO,838764,66875,,,1201016,4329327,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
11,MB,PT,552003,23695,,,204552,2720162,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
12,DR,PT,1127951,82333,,,194029,1263129,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
12,MB,DO,2073981,157572,,,4184141,18675226,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
16,DR,PT,164559,17147,,,49603,173114,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
16,MB,DO,212192,16588,,,444789,1859218,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
18,DR,DO,2149032,123901,,,432468,1855438,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
18,DR,PT,914026,44750,,,224042,1297881,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
18,MB,DO,2534794,146776,,,3663535,22385076,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
18,VP,DO,4548900,107940,,,1177060,46078044,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
19,DR,DO,828249,65499,,,148312,943558,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
19,MB,DO,2604406,194041,,,4298328,19144343,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
19,VP,DO,3185107,82797,,,680664,24029461,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
20,DR,DO,1548692,90152,,,352874,2018809,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
20,FB,PT,45064,5982,,,473926,743264,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
20,MB,DO,2204032,119569,,,3466709,18279810,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
20,VP,DO,1159888,38713,,,286858,6374082,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
21,DR,DO,788852,57393,,,184025,1050358,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
21,DR,PT,21450,950,,,2305,23248,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
21,MB,DO,1915082,140217,,,5623158,15566535,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
21,VP,DO,511877,9784,,,99290,2587105,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
22,DR,DO,522800,31159,,,118781,864235,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
22,MB,DO,269765,22089,,,417965,1926807,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
23,MO,PT,49621,5082,198484,20328,1732301,1559071,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
24,DR,DO,1250885,81064,,,215357,1295897,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
24,MB,DO,4289359,275743,,,6201190,34730798,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
24,VP,DO,65864,2141,,,14086,379442,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
25,DR,PT,3467393,215509,,,440924,5124417,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
25,MB,DO,2009115,159896,,,4746944,15643452,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
25,VP,PT,186407,4217,,,34466,1296409,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
28,FB,PT,40305,5643,,,201419,1758672,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
29,DR,PT,1824704,103188,,,217909,2217025,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
29,MB,DO,7057907,449565,,,8521071,56184448,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
29,MB,PT,1461601,63922,,,1771177,33986968,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
29,VP,DO,4782731,84326,,,862341,23304200,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
34,DR,PT,382937,24693,,,52785,438345,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
34,MB,DO,580648,31752,,,1055445,5308845,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
35,FB,DO,910252,126367,,,22510781,175293789,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
40,CR,PT,245790,6419,1399687,36010,2492362,59883908,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
40,LR,DO,89427,9424,89427,9424,889620,880476,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
40,LR,PT,556621,30236,1113309,60478,2501151,15924418,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
40,MB,DO,8670786,455489,,,11142117,151610708,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
40,MB,PT,2159803,80736,,,2642636,45884571,NTD (2009) National Transit Database,http://www.ntdprogram.gov/ntdprogram/data.htm
